se_code,se_name,margin_vol
301207,华兰疫苗,0.72
301211,亨迪药业,0.15
301217,铜冠铜箔,0.10
301228,实朴检测,0.19
301269,华大九天,8.32
301279,金道科技,6.40
301286,侨源股份,0.40
301328,维峰电子,3.20
301338,凯格精机,7.50
600004,白云机场,6.51
600007,中国国贸,1.00
600010,包钢股份,6.21
600011,华能国际,2.58
600023,浙能电力,1.28
600027,华电国际,4.30
600028,中国石化,7.55
600029,南方航空,110.78
600031,三一重工,1.00
600032,浙江新能,15.50
600038,中直股份,1.00
600039,四川路桥,16.75
600048,保利发展,1.00
600055,万东医疗,1.00
600057,厦门象屿,1.00
600059,古越龙山,3.28
600061,国投资本,9.24
600063,皖维高新,3.85
600064,南京高科,7.87
600072,中船科技,1.00
600073,上海梅林,1.00
600075,新疆天业,1.00
600079,人福医药,2.67
600085,同仁堂,1.00
600095,湘财股份,157.86
600096,云天化,3.00
600098,广州发展,1.00
600100,同方股份,2.20
600104,上汽集团,19.04
600105,永鼎股份,1.00
600108,亚盛集团,1.00
600109,国金证券,"1,189.67"
600111,北方稀土,1.00
600114,东睦股份,8.36
600115,中国东航,493.30
600116,三峡水利,1.00
600118,中国卫星,5.00
600123,兰花科创,1.00
600125,铁龙物流,1.00
600126,杭钢股份,51.40
600129,太极集团,1.00
600132,重庆啤酒,1.00
600138,中青旅,4.90
600141,兴发集团,1.01
600151,航天机电,14.28
600155,华创阳安,1.58
600158,中体产业,1.00
600163,中闽能源,1.00
600166,福田汽车,50.00
600169,太原重工,1.00
600172,黄河旋风,1.00
600176,中国巨石,1.19
600179,安通控股,67.43
600184,光电股份,1.00
600185,格力地产,1.00
600188,兖矿能源,2.40
600195,中牧股份,1.76
600206,有研新材,1.00
600210,紫江企业,1.00
600211,西藏药业,3.00
600217,中再资环,1.00
600219,南山铝业,2.20
600223,鲁商发展,1.00
600233,圆通速递,9.28
600236,桂冠电力,4.40
600238,海南椰岛,36.09
600246,万通发展,1.00
